PCS_ESE;label;Effectifs en EQTP;Salaire moyen en EQTP;Année
632B;Ouvriers qualifiés du travail de la pierre;6800;2100;2023
632C;Charpentiers en bois qualifiés;21380;2100;2023
632D;Menuisiers qualifiés du bâtiment;57710;2100;2023
632E;Couvreurs qualifiés;31000;2100;2023
632F;Plombiers et chauffagistes qualifiés;80770;2100;2023
632G;Peintres et ouvriers qualifiés de pose de revêtements sur supports verticaux;74820;1900;2023
632H;Soliers moquetteurs et ouvriers qualifiés de pose de revêtements souples sur supports horizontaux;5650;2000;2023
632J;Monteurs qualifiés en agencement, isolation;43580;2000;2023
633A;Electriciens qualifiés de type artisanal (y.c. bâtiment);70320;2100;2023
633B;Dépanneurs qualifiés en radiotélévision, électroménager, matériel électronique (salariés);6430;2000;2023
633C;Electriciens, électroniciens qualifiés en maintenance entretien, réparation : automobile;3720;2300;2023
633D;Electriciens, électroniciens qualifiés en maintenance, entretien : équipements non industriels;10000;2300;2023
634A;Carrossiers d'automobiles qualifiés;34340;2100;2023
634B;Métalliers, serruriers qualifiés;30130;2100;2023
634C;Mécaniciens qualifiés en maintenance, entretien, réparation : automobile;131090;2100;2023
634D;Mécaniciens qualifiés de maintenance, entretien : équipements non industriels;25150;2200;2023
635A;Tailleurs et couturières qualifiés, ouvriers qualifiés du travail des étoffes (sauf fabrication de vêtements), ouvriers qualifiés de type artisanal du travail du cuir;13710;2200;2023
636A;Bouchers (sauf industrie de la viande);33880;2000;2023
636B;Charcutiers (sauf industrie de la viande);5480;2000;2023
636C;Boulangers, pâtissiers (sauf activité industrielle);74450;1900;2023
636D;Cuisiniers et commis de cuisine;184400;1900;2023
637A;Modeleurs (sauf modeleurs de métal), mouleurs-noyauteurs à la main, ouvriers qualifiés du travail du verre ou de la céramique à la main;2940;2100;2023
637B;Ouvriers d'art;5540;2400;2023
637C;Ouvriers et techniciens des spectacles vivants et audiovisuels;12100;2400;2023
637D;Ouvriers qualifiés divers de type artisanal;17970;2000;2023
641A;Conducteurs routiers et grands routiers;363470;2200;2023
641B;Conducteurs de véhicule routier de transport en commun;112680;2300;2023
642A;Conducteurs de taxi;15130;1800;2023
642B;Conducteurs de voiture particulière;12770;1900;2023
643A;Conducteurs livreurs, coursiers;244670;1800;2023
644A;Conducteurs de véhicule de ramassage des ordures ménagères;11080;2200;2023
651A;Conducteurs d'engin lourd de levage;20180;2400;2023
651B;Conducteurs d'engin lourd de manoeuvre;8550;2400;2023
652A;Ouvriers qualifiés de la manutention, conducteurs de chariots élévateurs, caristes;158740;2000;2023
652B;Dockers;6420;3600;2023
653A;Magasiniers qualifiés;184920;2000;2023
654B;Conducteurs qualifiés d'engins de transport guidés (sauf remontées mécaniques);22080;3300;2023
654C;Conducteurs qualifiés de systèmes de remontées mécaniques;2580;2500;2023
655A;Autres agents et ouvriers qualifiés (sédentaires) des services d'exploitation des transports;30500;2400;2023
656B;Matelots de la marine marchande;4720;2900;2023
656C;Capitaines et matelots timoniers de la navigation fluviale;2570;2800;2023
671A;Ouvriers non qualifiés des travaux publics de l'Etat et des collectivités locales;1650;1700;2023
671C;Ouvriers non qualifiés des travaux publics et du travail du béton;39900;1900;2023
671D;Aides-mineurs, ouvriers non qualifiés de l'extraction;960;2000;2023
672A;Ouvriers non qualifiés de l'électricité et de l'électronique;14960;2000;2023
673A;Ouvriers de production non qualifiés travaillant par enlèvement de métal;11660;2100;2023
673B;Ouvriers de production non qualifiés travaillant par formage de métal;4090;2100;2023
673C;Ouvriers non qualifiés de montage, contrôle en mécanique et travail des métaux;40160;2100;2023
674A;Ouvriers de production non qualifiés : chimie, pharmacie, plasturgie;34350;2100;2023
674B;Ouvriers de production non qualifiés de la transformation des viandes;16790;1900;2023
674C;Autres ouvriers de production non qualifiés : industrie agroalimentaire;66530;1900;2023
674D;Ouvriers de production non qualifiés : métallurgie, production verrière, céramique, matériaux de construction;34200;2000;2023
674E;Ouvriers de production non qualifiés : industrie lourde du bois, fabrication des papiers et cartons;3900;2000;2023
675A;Ouvriers de production non qualifiés du textile et de la confection, de la tannerie-mégisserie et du travail du cuir;21610;1700;2023
